eid,empname,website,corporatewebsite,additionalwebsites,leadership,hrcontactinfo,jobfaircontactinfo,location,region,geo,size,noofemp,emptype,ticker,affiliates,news,budget,facebook,twitter,socialmedia,missionstmt,overview,culture,financials,citations,poi,linkedin,990taxforms
5,ESPN,"<a href=""http://www.ESPN.com"" target=""_blank"">ESPN Website</a>","<a href=""http://thewaltdisneycompany.com/investors/shareholder-information"" target=""_blank"">Walt Disney Website</a>",0,"John Skipper, President, ESPN and Co-Chairman, Disney Media Networks","<a href=""http://espncareers.com/"" target=""_blank"">Careers Website</a> ",,"Bristol, CT                          I","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska), Outside U.S.",International,Large,7000***,3,DIS,,"http://marist.summon.serialssolutions.com/search?s.cmd=setSort(PublicationDate:desc)&s.fvf%5B%5D=ContentType,Newspaper+Article,f&s.fvf%5B%5D=ContentType,Trade+Publication+Article,f&s.light=t&s.q=ESPN&format=rss",,https://www.facebook.com/ESPN?ref=br_tf,https://twitter.com/espn,,"To serve sports fans, wherever sports are watched, listened to, discussed, debated, read about, or played.","<ul><li>Founded in 1979 as a television outlet to broadcast University of Connecticut athletics.</li><li>Began distributing programming internationally in 1983.</li><li>Company is 80% owned by ABC, Inc.; an indirect subsidiary of The Walt Disney Company. The Hearst Corporation owns a 20% interest in ESPN.</li><li>The world""s largest multimedia sports entertainment company, with more than 50 distinct business entities, including television, audio, digital, and publishing platforms.</li><li>First network to televise all four major professional sports-NBA, MLB, NHL, NFL.</li></ul><br/>Products include:<br/>SportsCenter<br/>ESPN The Magazine<br/>ESPN Radio Network<br/>ESPN on ABC<br/>Monday Night Football<br/>30 for 30 Film Series<br/>FIFA World Cup<br/>ESPN Zone Restaurants<br/>Grantland.com","ESPN is packed with top talent, technology and ideas. Every day, we""re doing things that no one has ever done before. All in an exciting work environment where we defy odds and continuously outdo ourselves. You don""t have to be a sports fan to work here. You just have to know what it feels like to win*",<ul><li>$45.0 billion total revenue of The Walt Disney Company</li><li>$20.4 billion total revenue of Disney Media Networks Division (inclusive of ESPN)</li><li>$6.1 billion net income of The Walt Disney Company**</li></ul> ,"From <a href=""http://espncareers.com/"" target=""_blank"">the ESPN Careers Website</a></br>From <a href=""http://www.sec.gov"" target=""_blank"">Walt Disney""s Annual Report (10-K)</a></br>From <a href=""http://espnmediazone.com/us/espn-inc-fact-sheet/"" target=""_blank"">ESPN Fact Sheet</a>","<ul><li>The Marist College Center for Sports Communication produces a weekly radio program, ""The Classroom,"" which airs on ESPN""s Hudson Valley radio affiliate, Fox 1220 ESPN.</li> <li>ESPN produces more than 30,000 hours of live programming per year over multiple media platforms.</li></ul>","<a href=""https://www.linkedin.com/company/espn"" target=""_blank"">LinkedIn</a>",
6,1-800-Flowers.Com," <a href=""www.1800flowers.com"" target=""_blank"">1-800-Flowers.com Website</a>","<a href=""ttp://investor.1800flowers.com/ "" target=""_blank"">1-800-Flowers.com Corporate Website</a>","<a href=""http://www.1800flowers.com/blog/"" target=""_blank"">1-800-Flowers.com Blog</a>","Christopher McCann, President<br/>
James McCann, CEO<br/>
Gerard Gallagher, SVP and General Counsel","<a href=""http://ww31.1800flowers.com/template.do?id=template8&page=9000&conversionTag=true"" target=""_blank"">Careers Website</a>",,"Carle Place, NY ","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska), Outside U.S.",International,"Medium (500-9,999 employees)",2150,3,FLWS,"1-800 FLOWERS Acquisition Corp.<br/>
1-800 FLOWERS RETAIL Inc.<br/>
1-800 FLOWERS Team Services Inc.<br/>
1-800-Flowers.Com<br/>
800-FLOWERS Inc.<br/>
Amalgamated Consolidated Enterprises Inc.<br/>
Bloomlink Systems Inc.<br/>
Conroy""s Inc.<br/>
Fannie May Confections Inc.<br/>
Gerber Gardens/1-800-Flowers L.L.C.<br/>
GreatFood.com<br/>
and others", http://marist.summon.serialssolutions.com/search?s.cmd=setSort(PublicationDate:desc)&s.light=t&s.q=TitleCombined:(1800flowers)&format=rss,,https://www.facebook.com/1800flowers,http://www.twitter.com/1800flowers,"<a href=""https://plus.google.com/+1800flowers/posts"" target=""_blank"">Google+</a> <br/>
<a href=""https://www.youtube.com/1800flowers"" target=""_blank"">YouTube</a>","“1-800-FLOWERS.COM is all about Delivering Smiles for our customers. To achieve this goal we strive to be the leading provider of thoughtful gifts, helping our customers express themselves perfectly and connect with the important people in their lives. We will continue to engage directly with our customers to build on our trusted relationships by providing them with ease of access and truly original products all backed by a caring team obsessed with service.”","<ul><li>A florist and gift retailer selling by telephone, online, at company owned and operated stores and at 214 franchised store locations.</li><li>Founded in 1976 as a floral business.</li><li>Acquired  several other companies and expanded its offerings to include gifts, popcorn, gourmet foods, cookies, chocolates, and wines.</li><li>The company operates in three segments: Consumer Floral, Gourmet Food and Gift Baskets, and BloomNet Wire Service.</li></ul>",,"<ul><li>Net Revenue $735.5 million </li>
 <li>Net Sales$ 12.3 million </li>
<li>Net Revenue by segment:</li>
<li>Consumer Floral: $411.5 million</li>
<li>BloomNet Wire Service $81.8 million</li>
<li>Gourmet Food & Gift Baskets: $243.2 million</li></ul>",,"<ul><li>1-800-Flowers"" President, Christopher McCann is a Marist Alumnus.</li></ul>","<a href=""https://www.linkedin.com/company/1800flowers.com"" target=""_blank"">LinkedIn</a>",
7,Ability Beyond,"<a href=""http://abilitybeyond.org/"" target=""_blank"">Ability Beyond Website</a>",,"<a href=""http://abilitybeyond.org/category/latest-news/"" target=""_blank"">In The News</a>","Thomas H. Fanning, President and CEO<br/>
Lori I. Pasqualin, Chief Financial and Administrative Officer<br/>
Jane Davis-Bunt, Chief Operating Officer<br/>
 David Cappiello, Vice President of Development <br/>

<a href=""http://abilitybeyond.org/about-us/our-team/"" target=""_blank"">More Information</a><br/>
<a href=""http://abilitybeyond.org/about-us/board-members/"" target=""_blank"">Board Members</a>","<a href=""http://abilitybeyond.org/about-us/careers/"" target=""_blank"">Careers Website</a>",,"Bethel, CT","New England, Middle Atlantic",Regional,"Medium (500-9,999 employees)"," 1363 employees, 425 volunteers*",1,,,"http://marist.summon.serialssolutions.com/search?s.light=t&s.q=%22ability+beyond+disability%22&s.sort=PublicationDate%3Adesc&s.cmd=addFacetValueGroupFilter(SubjectTerms,or,nonprofit+organizations)&format=rss",,https://www.facebook.com/AbilityBeyond,www.twitter.com,"<a href=""https://www.youtube.com/user/abeyonddisability"" target=""_blank"">Youtube</a>","“Our Mission is in our name … at Ability Beyond Disability we discover, build and celebrate the ability in all people.”  ","<ul><li> Founded in 1953 by a group of parents who wanted a better life for their children with disabilities.</li>
<li> Offers one of the most comprehensive systems of community-based support for people with disabilities.</li>
<li> Provides job training and placement, supported living and recreational and educational opportunities.</li></ul>",,"<ul><li>From AbilityBeyond.org: “Ability Beyond has an annual operating budget of $67 million and receives community support in excess of $2 million annually.”</li>
<li>Revenue: $45.0 million</li>
<li>Expenses: $43.6 million</li>
<li>Fiscal year: July 1, 2011- June 30, 2012, Revenue is primarily from program services, with additional income from contributions and grants and investments.*</li></ul>","<a href=""http://www.guidestar.org"" target=""_blank"">*From IRS Form 990</a>","<ul><li>In 2014, the Kessler Foundation awarded a $450,000 Signature Employment Grant to Ability Beyond to expand a disability employment initiative with PepsiCo called Pepsi ACT (Achieving Change Together). </li></ul>","<a href=""https://www.linkedin.com/company/ability-beyond"" target=""_blank"">LinkedIn</a>","<a href=""www.guidestar.org"" target=""_blank"">990 Tax Forms</a> "
8,Aflac,"<a href=""http://www.aflac.com/"" target=""_blank"">Aflac Website</a>","<a href=""http://investors.aflac.com/index.php"" target=""_blank"">Aflac Corporate Website</a>","<a href=""http://blog.aflac.com/"" target=""_blank"">Aflac Blog</a>","Aflac (U.S.)<br/>
Daniel P. Amos, CEO<br/>
Kriss Cloninger III, CFO<br/>

Aflac (Japan)<br/>
Tohru Tonoike, COO<br/>

<a href=""http://www.aflac.com/aboutaflac/corporateoverview/managementteam.aspx"" target=""_blank"">More Information</a>","<a href=""http://www.aflac.com/careers/default.aspx"" target=""_blank"">Careers Website</a>",,"Columbus, GA","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska), Outside U.S.",International,"Medium (500-9,999 employees)","4,335",3,AFL,"Aflac (U.S.)<br/>
Aflac (Japan)","http://marist.summon.serialssolutions.com/search?s.cmd=setSort(PublicationDate:desc)&s.fvf%5B%5D=ContentType,Newspaper+Article,f&s.fvf%5B%5D=ContentType,Trade+Publication+Article,f&s.light=t&s.q=TitleCombined:(aflac)&format=rss",,https://www.facebook.com/Aflac,https://twitter.com/Aflac,,"""We pledge to be there for our policyholders in their time of need.  Aflac""s philosophy is to combine innovative strategic marketing with quality products and services at competitive prices to provide the best insurance value for consumers.<br/>

<ul><li>Building better value for our shareholders.</li>
<li>Supplying quality service for our agents.</li>
<li>Providing an enriching and rewarding workplace for our employees.""</li></ul>","<ul><li>Aflac""s main line of business is selling supplemental insurance, along with life insurance products.</li>
<li>Aflac Inc. was founded in 1955 under the name American Family Life Insurance.  In 1964, it changed its name to American Family Life Assurance Company of Columbus (AFLAC).</li><li>Aflac is a Fortune 500&#174; company that has a presence in all 50 U.S. states, Puerto Rico, and the Virgin Islands.</li>
<li>It provides protection to approximately 50 million people worldwide.</li></ul>","""Aflac is committed to creating and sustaining a work environment and company culture, where all employees of our diverse workforce can perform at their very best.  We want employees to maintain a healthy work/life balance.  Employees are encouraged to schedule personal time off (PTO) to enable them to attend their children""s or family""s activities or to take care of other personal priorities.""<br/>

<a href=""http://www.aflac.com/careers/Corporate_Employment/corporateculture.aspx"" target=""_blank"">More Information</a>","<ul><li>Aflac U.S. Total Revenue:  $5.8 billion</li>
<li>Aflac Japan Total Revenue:  $17.7 billion</li>
<li>Aflac Inc. Total Revenue:  $23.9 billion</li>
<li>Net Earnings:  $3.2 billion</li></ul>",,"<ul><li>Aflac has an active operating segment in Japan (Aflac Japan). It is the leading insurance company for individual insurance policies, insuring approximately one out of every four Japanese households.</li></ul>","<a href=""https://www.linkedin.com/company/aflac"" target=""_blank"">LinkedIn</a>",
9,"Automatic Data Processing (ADP), Inc.","<a href=""http://www.adp.com/"" target=""_blank"">ADP Website</a>","<a href=""http://investors.adp.com/"" target=""_blank"">ADP Corporate Website</a>","<a href=""http://blog.adp.com/"" target=""_blank"">ADP Blog</a>","Carlos Rodriguez, President and CEO<br/>
Jan Siegmund, Vice President and CFO<br/>
Ed Flynn, Vice President of Worldwide Sales and Marketing","<a href=""http://www.adp.com/careers.aspx"" target=""_blank"">Careers Website</a>",,"Roseland, NJ","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska), Outside U.S.",International,"Large (More than 10,000 employees)","61,000",3,ADP,42 international subsidiaries,"http://marist.summon.serialssolutions.com/search?s.cmd=setSort(PublicationDate:desc)&s.fvf%5B%5D=ContentType,Journal+Article,f&s.fvf%5B%5D=ContentType,Newspaper+Article,f&s.fvf%5B%5D=ContentType,Trade+Publication+Article,f&s.light=t&s.q=%22automatic+data+processing%22+TitleCombined:(adp)&format=rss",,https://www.facebook.com/AutomaticDataProcessingAdp,https://twitter.com/ADP,"<a href=""https://www.youtube.com/user/adp"" target=""_blank"">YouTube</a>",Our Mission: Power organizations with insightful solutions that drive business success.,"<ul>
<li>""ADP, LLC (ADP) is one of the largest providers of business processing and cloud-based solutions to employers and automotive dealerships around the world.""</li><li>Founded and incorporated in 1949 as a payroll service.</li>
<li>""ADP serves about 620,000 organizations in more than 125 countries.""</li></ul></br>

Products/Services:</br>
Payroll services</br>
Human Resources services</br>
Benefits services</br>
Time and attendance services","<a href=""http://www.adp.com/who-we-are/corporate-social-responsibility.aspx"" target=""_blank"">More Information</a>","<ul><li>Total Revenues: $12.2 billion</li>
<li>Gross Profits: $5 billion</li>
    <li>Net earnings (from operations):  $1.5 billion</li></ul><br/>
Revenues by division:<br/>
<ul><li>Employer Services: $8.5 billion</li>
<li>Professional Employer Organization Services: $2.3 billion</li>
<li>Dealer Services: $1.9 billion*</li></ul>","*From <a href=""http://files.shareholder.com/downloads/ADP/3452033789x0xS8670-14-15/8670/filing.pdf"" target=""_blank"">ADP, Inc. 10-K</a>","<ul><li>""Over 80 percent of Fortune 500 companies and more than 90 Fortune 100 companies use at least one of ADP""s services.""*</li></ul>","  <a href=""http://www.linkedin.com/company/adp"" target=""_blank"">LinkedIn</a>",
10,Bank of America Corporation," <a href=""https://www.bankofamerica.com/"" target=""_blank"">Bank of America Website</a>
",,,"Brian Moynihan, CEO<br/>
Thomas K. Montag, COO<br/>
Bruce R. Thompson, CFO<br/>
<a href=""http://about.bankofamerica.com/en-us/our-story/our-team.html#fbid=JFaUko0aDsi"" target=""_blank"">More Information</a>","<a href=""http://careers.bankofamerica.com/?cm_re=EBZ-Corp_SocialResponsibility-_-Enterprise-_-EI38LT0006_AboutSite_Careers"" target=""_blank"">Careers Website</a>",,"Charlotte, NC","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska), Outside U.S.",International,"Large (More than 10,000 employees)","242,000 Full time employees*",3,BAC,,"http://marist.summon.serialssolutions.com/search?s.cmd=addFacetValueFilters(Language,English)&s.fvf=ContentType,Newspaper+Article,f&s.light=t&s.q=%22Bank+of+America%22&s.sort=PublicationDate:desc&format=rss",,https://www.facebook.com/BankofAmerica,https://twitter.com/BofA_Careers,"<a href=""https://www.youtube.com/user/bankofamerica"" target=""_blank"">YouTube</a> ","“We are here to make the financial lives of those who do business with us better. Better by listening to our customers and clients, and connecting them to the financial solutions they need. And, better by connecting across our company to deliver those solutions.”","<ul><li>A bank offering diversified financial services.  Includes personal and business account services, loans and mortgages, investment management, financial planning, retirement accounts, debit card services and more.</li>
<li>Provides financial services to both individuals and businesses.</li>
<li>Owns Merrill Lynch, which forms part of the Global Wealth & Investment Management segment and provides some services in the Consumer & Business Banking segment.</li></ul><br/>
Operates as 5 business segments:<br/>
Consumer & Business Banking (CBB)<br/>
Consumer Real Estate Services (CRES)<br/>
Global Wealth & Investment Management (GWIM)<br/>
Global Banking<br/>
Global Markets*",,"<ul><li>$89.8 million Revenue</li>
<li>$11.4 million Net Income</li>
<li>$29.7 million Total Revenue Consumer & Business Banking</li>
<li>$7.7 million Total Revenue Consumer Real Estate Services</li>
<li>$17.8 million Total Revenue Global Wealth & Investment Management</li>
<li>$16.5 million Total Revenue Global Banking</li>
<li>$16 billion Total Revenue Global Markets*</li></ul>","*From <a href=""http://investor.bankofamerica.com/phoenix.zhtml?c=71595&p=irol-sec#fbid=kygg_zef9eR"" target=""_blank"">Bank of America Annual Report (10-K)</a>
","<ul><li> In 2004, Bank of America began a green initiative to reduce their greenhouse gas emissions by 9% and followed this up with a commitment to provide $20 billion to businesses pursuing environmentally responsible projects.  Bank of America is currently working toward providing $50 billion over 10 years to environmental initiatives by their clients.</li>
<li>Bank of America partners with art galleries and museums to share art with the public, increase museum attendance, conserve art and provides grants to these organizations.</li></ul>","  <a href=""https://www.linkedin.com/company/bank-of-america"" target=""_blank"">LinkedIn</a>",
11, Becker Professional Education,"<a href=""http://www.becker.com/"" target=""_blank"">Becker Professional Education Website</a>",,,"John P. Roselli, President","<a href=""https://becker-devry.icims.com/jobs/intro?mobile=false&width=715&height=500&bga=true&needsRedirect=false"" target=""_blank"">Careers Website</a>",,"Downer""s Grove, Illinois","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska), Outside U.S.",International,"Medium (500-9,999 employees)","3,500",3,DV,, http://marist.summon.serialssolutions.com/search?s.cmd=setSort(PublicationDate:desc)&s.light=t&s.q=TitleCombined:(%22becker+professional+education%22)&format=rss,,https://www.facebook.com/BECKERCPA,https://twitter.com/beckercpa,"<a href=""https://www.youtube.com/user/BeckerProfessionalED"" target=""_blank"">YouTube</a> <br/>
<a href=""https://plus.google.com/114757423111755637998/posts"" target=""_blank"">Google+</a>","“Serving the global accounting, finance, and project management professions, one professional at a time, through innovative, high-quality educational solutions and services from career-start to finish.” ","<ul><li>Provides pre-licensing, exam prep & review, and continuing education for the accounting, project management and healthcare professions.</li><li>Becker CPA Review was launched as an independent company in 1960.</li><li>Became a subsidiary of DeVry Education Group in 1996.</li><li>More than 250 locations worldwide and online.</li><li>Products include; CPA Exam Review, ACCA&#174; Exam preparation, PMP&#174; Exam Review, USMLE&#174; Exam Review, COMLEX&#174; Exam Review and Continuing Professional Education courses.</li><li>Partners with more than 1,500 accounting firms, corporations, societies, government agencies and universities.</li></ul>",,International and Professional Education segment of DeVreis Education (Parent Company):  Revenue $228.1 million,"From <a href=""http://apps.devryinc.com/brandguidelines/becker/style_guides.htm"" target=""_blank"">Becker Professional Education Style Guide</a>",<ul><li>Some positions at Becker Professional Education allow for flexible schedules and/or telecommuting.</li></ul>," <a href=""http://www.linkedin.com/groups/Becker-Professional-Education-3074439?gid=3074439"" target=""_blank"">LinkedIn</a>",
12,"Bed Bath and Beyond, Inc."," <a href=""http://www.bedbathandbeyond.com/#"" target=""_blank"">Bed, Bath and Beyond Website</a>",," <a href=""http://blog.bedbathandbeyond.com/"" target=""_blank"">Above and Beyond Blog</a>","CEO and Director - Steven H. Temares<br/>
CFO and Treasurer - Susan E. Lattmann<br/>
Co-Founder and Director - Warren Eisenberg<br/>
Co-Founder and Director - Leonard Feinstein","<a href=""http;//www.bedbathandbeyond.com/store/static/Careers"" target=""_blank"">Careers Website</a>",,"Union, NJ","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska), Outside U.S.",International,"Large (More than 10,000 employees)","58,000",3,BBBY,"Bed Bath and Beyond, Inc. also operates under the following names:<br/>

Christmas Tree Shops<br/>
and That!<br/>
Harmon<br/>
Harmon Face Values<br/>
buybuy BABY<br/>
World Market<br/>
Cost Plus<br/>
Linen Holdings","http://marist.summon.serialssolutions.com/search?s.cmd=setSort(PublicationDate:desc)&s.fvf%5B%5D=ContentType,Journal+Article,f&s.fvf%5B%5D=ContentType,Magazine+Article,f&s.fvf%5B%5D=ContentType,Newspaper+Article,f&s.fvf%5B%5D=ContentType,Trade+Publication+Article,f&s.light=t&s.q=TitleCombined:(bed+bath+and+beyond)&format=rss",,https://www.facebook.com/BedBathAndBeyond,https://twitter.com/BedBathBeyond,"<a href=""https://www.youtube.com/user/Bedbathandbeyond"" target=""_blank"">YouTube</a> ","The Company""s objective is to be a customer""s first choice for products and services in the categories offered, in the markets in which the Company operates.  The Company""s strategy is to achieve this objective through excellent customer service, an extensive breadth and depth of assortment, everyday low prices, and introduction of new merchandising offerings, supported by the continuous development and improvement of our infrastructure.","<ul><li>Bed Bath and Beyond, Inc. was founded in 1971. The company sells a wide variety of domestics merchandise and home furnishings.  Under its Linen Holdings, it also sells textile products, amenities and other goods to institutional customers in industries such as hospitality, cruise lines, food services, and healthcare.</li></ul><br/>Products:<br/>Bed linens<br/>Bath items<br/>Kitchen textiles<br/>Tabletop items<br/>Basic housewares<br/>General home furnishings","“We do whatever it takes to ensure the customer experience is as good as it gets.”  <a href=""http://www.bedbathandbeyond.com/store/static/careersAboutUs"" target=""_blank"">More Information</a>","<ul><li>Net sales - $11.5 billion</li>
<li>Gross profit - $4.6 billion</li>
<li>Net earnings - $1 billion**</li></ul>","*From <a href=""http://www.bedbathandbeyond.com/store/static/CorporateResponsibilityReport"" target=""_blank"">Corporate Responsiblity Report</a>
</br>**From <a href=""http://phx.corporate-ir.net/phoenix.zhtml?c=97860&p=irol-irhome"" target=""_blank"">Bed Bath and Beyond Annual Report 2013</a>",<ul><li>Four Bed Bath & Beyond stores are operating in Mexico through a joint venture.</li></ul>,"  <a href=""https://www.linkedin.com/job/bed-bath-and-beyond/jobs/"" target=""_blank"">LinkedIn</a> <br/> <a href=""https://www.linkedin.com/company/bed-bath-and-beyond"" target=""_blank"">LinkedIn</a>",
13,CA Technologies,"<a href=""http://www.ca.com/us/default.aspx"" target=""_blank"">CA Technologies Website</a>","<a href=""http://investor.ca.com/?intcmp=footernav"" target=""_blank"">CA Technologies Corporate Website</a>","<a href=""http://blogs.ca.com/ "" target=""_blank"">Corporate Blog</a>","Michael P. Gregoire, CEO<br/>
Russell M. Artzt, Vice Chairman and Founder<br/>
Richard Beckert, Executive Vice President and CFO","Talent Acquisition: 1-800-454-3788<br/> <a href=""http://www.ca.com/us/careers/careers-and-teams.aspx"" target=""_blank"">Careers Website</a>",,"Islandia, NY","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska), Outside U.S.",International,"Large (More than 10,000 employees)","13,600",3,CA,"The 2014 annual report lists 16 subsidiaries located in the U.S., Bermuda, Switzerland, Canada, Germany, Japan, Australia, Brazil, France, the Netherlands, and the U.K. ",http://marist.summon.serialssolutions.com/search?s.cmd=setSort(PublicationDate:desc)&s.light=t&s.q=CA+Technologies&format=rss,,https://www.facebook.com/CATechnologies,https://twitter.com/CAInc,"<a href=""https://www.youtube.com/user/catechnologies"" target=""_blank"">YouTube</a> ","“We make software for businesses that are development–driven, because we believe that those who build the apps will own the future.”*","<ul><li>Founded in 1976 as Computer Associates International.(CAI).</li>
<li>Provides software and IT solutions to a wide variety of organizations including Fortune 500&#174; companies, global banks and federal agencies.</li>
<li>Products include cloud delivery, infrastructure management, mainframe modernization and optimization, and IT security.</li>
<li>Named one of the “World""s 100 Most Innovative Companies” by Forbes and one of the greenest companies in the United States by Newsweek&#174;.</li></ul>","“CA Technologies has a fun, diverse and fast-paced corporate culture that has put us on the map as one of the best employers in the industry, and we have the awards and recognition to prove it. Here you""ll have the opportunity to explore flexible work arrangements, partner with our impressive customer set (including the majority of the Forbes Fortune&#174; 2000) and enjoy a competitive compensation and benefits package – all while pushing the boundaries of what""s “possible” by collaborating with a diverse team of global innovators.”","<ul><li>Net Sales $914 million</li>
<li>Net Income $4.5 billion</li></ul>","*From <a href=""http://files.shareholder.com/downloads/CA/3446706883x0x340396/e7f4877e-e619-4b98-b10a-f4c32fd26118/CA-Fact-Sheet.pdf"" target=""_blank"">CA Technologies Fact Sheet</a>",<ul><li>CA Technology operates in 45 countries.</li></ul>,"<a href=""https://www.linkedin.com/company/ca-technologies"" target=""_blank"">LinkedIn</a>",
14,Central Hudson Gas &#38; Electric Corporation,"<a href=""http://www.cenhud.com"" target=""_blank"">Central Hudson Gas &#38; Electric Corporation Website</a>",,,"Steven V. Lant, CEO and Director<br/>James P. Laurito, President<br/>
Christopher M. Capone, Executive Vice President and CFO","<a href=""http://www.cenhud.com/employment/index.html"" target=""_blank"">Careers Website</a>",,"Poughkeepsie, NY",Middle Atlantic,Local,"Medium (500-9,999 employees)",898,3,CHG,," http://marist.summon.serialssolutions.com/search?s.cmd=addFacetValueFilters(SubjectTerms,electric+utilities)&s.light=t&s.q=%22central+hudson%22&s.sort=PublicationDate:desc&format=rss",,https://www.facebook.com/centralhudson,https://twitter.com/CentralHudson,,"“Central Hudson""s mission is to deliver electricity and natural gas to an expanding customer base in a safe, reliable, courteous and affordable manner; to produce growing financial returns for shareholders; to foster a culture that encourages employees to reach their full potential; and to be a good corporate citizen.”","<ul><li>Founded in 1926 and headquartered in Poughkeepsie, NY.</li><li>Purchases, sells and distributes electricity and natural gas in New York State""s Mid-Hudson River Valley.</li><li>CH Energy Group, Inc., a holding company/parent organization of Central Hudson Gas &#38; Electric Corporation, was formed in 2000.</li><li>CH Energy Group and Central Hudson joined Fortis Inc""s federation of utility companies in 2013.</li><li>Serves approximately 300,000 electric customers and 78,000 natural gas customers. </li></ul>","“Central Hudson offers a comprehensive benefits package including medical, dental, vision services, tuition assistance, 401K, life insurance and vacation. We have a strong belief in and long history of promoting from within. Central Hudson has an environment that fosters teamwork, safety awareness, and impeccable customer service. Employees enjoy numerous opportunities for transition and growth throughout their careers. The company is committed to educational development, employee satisfaction, and a diverse workforce.”",<ul><li>Net Income: $47.2 million</li><li>Net Sales: $644.5 million</li><li>CH Energy Group (parent company) Net Sales: $972.3 million</li></ul>,,"<ul><li>Central Hudson""s headquarters are in Poughkeepsie, NY.</li><ul>","  <a href=""https://www.linkedin.com/company/central-hudson-gas-&-electric"" target=""_blank"">LinkedIn</a>",
